latitude,longitude,stop_time,duration,coverage
-94.17881176666667,33.1222648,2016-02-01 10:44:00,1620.0,0.1040591382630065
-94.10526416666666,33.42748643333333,2016-02-01 11:37:00,1320.0,0.11105200044366989
-94.04260543333334,33.4281929,2016-02-01 12:47:00,1440.0,0.08658465272110788
-94.02923106666667,33.45434346666667,2016-02-01 13:17:00,1320.0,0.10643833131053025
-93.58964785,33.66066585,2016-02-01 14:33:00,840.0,0.12668806644208752
-93.09581130000001,34.11833005714286,2016-02-01 15:32:00,1980.0,0.15108846401823153
-93.08283943333333,34.4507724,2016-02-01 17:02:00,780.0,0.13996464764783811
-93.04644813333334,34.50419896666667,2016-02-01 17:28:00,1380.0,0.08513051718211238
-93.10047519999999,34.494063700000005,2016-02-01 17:59:00,840.0,0.0
-93.06017359999998,34.657734600000005,2016-02-01 18:38:00,1620.0,0.0
-92.82667015,35.2212842,2016-02-01 20:55:00,900.0,0.0005987145512154008
-94.17590207500001,36.077475025,2016-02-03 10:58:00,2100.0,0.10217471015555586
-94.1471615,36.355457,2016-02-03 12:01:00,1980.0,0.09149097112907212
-94.23845399999999,36.438325524999996,2016-02-03 12:51:00,1020.0,0.09024062440278283
-94.24149853333334,36.3579346,2016-02-03 13:25:00,2700.0,0.09531549912750581
-94.14543214999999,36.25414835000001,2016-02-03 14:36:00,2340.0,0.08435150144807002
-94.21879154999999,36.176713125,2016-02-03 15:27:00,1740.0,0.09452100094596512
-94.231641,36.176386799999996,2016-02-03 15:56:00,360.0,0.0
-94.51833408,36.18157182,2016-02-03 16:18:00,1440.0,0.7250082118672905
-94.13953835000001,36.174995100000004,2016-02-03 17:12:00,1920.0,0.0007836406817203143
-94.11912013333331,36.08558226666667,2016-02-03 18:01:00,1440.0,0.09208647870462773
-94.25531203333333,36.03902906666667,2016-02-03 18:46:00,1500.0,0.10644511170425687
